GeneID	GSM3518005	GSM3518006	GSM3518007	GSM3518008	GSM3518009	GSM3518010	GSM3518011	GSM3518012	GSM3518013
107985989	0.4813	1.194	0.6056	0.9655	1.367	3.976	5.658	0.5962	1.397
107985988	1.287	3.146	1.329	1.521	2.743	9.249	11.99	1.643	3.397
107985990	0.4398	1.426	0.4381	1.365	1.186	2.783	9.512	1.479	1.627
2043	4.337	4.216	5.669	5.78	36.62	23.49	34.03	13.21	8.344
105373897	0	0	0	0	0	0	0	0	0
105373899	0	0.06394	0	0	0	0	0	0	0
105373898	0	0	0	0	0	0	0	0	0
105373900	0	0	0	0	0	0	0	0	0
5077	0.0159	0.01874	0.08446	0.02818	0.02859	0.08049	0.9002	0.2005	0
107985991	0	0	0	0	0	0	0.1978	0	0
151278	0	0	0	0	0	0	0	0	0
440934	0.104	0.07356	0.06908	0.0922	0.07482	0.08777	0.1145	0.06995	0.3777
130367	0.6069	0.5694	1.53	0.7685	0.5346	2.446	0.8766	0.354	3.065
10056	2.286	2.157	2.809	2.834	7.479	8.196	10.07	4.412	6.139
105373902	0.6424	0.7573	0.512	0.4556	0.9243	1.518	3.032	0.6481	1.037
116255	0.2229	0.3941	0.3701	0.6915	0.7015	2.257	2.104	0.7964	1.799
105373903	0.02562	0.0302	0.03403	0.09083	0.1843	0	0.1612	0.02154	0.03445
2181	9.952	10.86	8.49	11.86	39.26	39.38	45.24	14.47	34.09
105373904	0.4458	0.7356	0.5921	0.1581	1.924	3.16	2.664	0.5996	1.799
23704	0.7224	0.3893	0.7128	0.3842	1.485	1.254	4.35	1.006	1.555
105373905	0	0.03192	0.05395	0.024	0.09739	0.1142	0.2556	0.04553	0.01821
105373906	0	0	0	0	0	0	0	0	0.4474
105373907	0	0	0	0	0	0	0	0	0
7857	0.1615	0.03173	0	0.4773	0.4358	0.5907	3.515	1.63	0.1086
130340	0.06512	0.1343	0.1297	0.08659	0.1757	0.2198	0.8195	0.1916	0.1971
57590	4.481	6.321	5.989	6.178	16.04	23.72	30.23	9.136	15.36
65080	6.594	6.963	6.888	8.007	28.41	39.24	32.25	12.3	38.2
5270	3.851	2.472	2.678	4.683	19.36	37.23	41.64	23.19	11.69
